
# Curve 0 of 1, 25 points
# Curve title: "(0.5*5*0.01*20*(x*10)+5.5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.40417  i
0.83333 1.85833  i
1.25000 1.41250  i
1.66667 1.24167  i
2.08333 1.18083  i
2.50000 1.17500  i
2.91667 1.20060  i
3.33333 1.24583  i
3.75000 1.30417  i
4.16667 1.37167  i
4.58333 1.44583  i
5.00000 1.52500  i
5.41667 1.60801  i
5.83333 1.69405  i
6.25000 1.78250  i
6.66667 1.87292  i
7.08333 1.96495  i
7.50000 2.05833  i
7.91667 2.15285  i
8.33333 2.24833  i
8.75000 2.34464  i
9.16667 2.44167  i
9.58333 2.53931  i
10.00000 2.63750  i

