
# Curve 0 of 1, 25 points
# Curve title: "(0.5*6*0.01*20*(x*10)+5*50/(x*10))/20"
# x y type
0.00000 0.00000  u
0.41667 3.12500  i
0.83333 1.75000  i
1.25000 1.37500  i
1.66667 1.25000  i
2.08333 1.22500  i
2.50000 1.25000  i
2.91667 1.30357  i
3.33333 1.37500  i
3.75000 1.45833  i
4.16667 1.55000  i
4.58333 1.64773  i
5.00000 1.75000  i
5.41667 1.85577  i
5.83333 1.96429  i
6.25000 2.07500  i
6.66667 2.18750  i
7.08333 2.30147  i
7.50000 2.41667  i
7.91667 2.53289  i
8.33333 2.65000  i
8.75000 2.76786  i
9.16667 2.88636  i
9.58333 3.00543  i
10.00000 3.12500  i

